DATE,CUSR0000SETA02
2014-02-01,150.718
2014-03-01,149.641
2014-04-01,149.217
2014-05-01,149.006
2014-06-01,148.921
2014-07-01,149.216
2014-08-01,149.472
2014-09-01,149.859
2014-10-01,148.954
2014-11-01,147.488
2014-12-01,145.830
2015-01-01,144.875
2015-02-01,147.264
2015-03-01,147.694
2015-04-01,148.404
2015-05-01,149.290
2015-06-01,149.480
2015-07-01,149.078
2015-08-01,148.295
2015-09-01,147.554
2015-10-01,146.397
2015-11-01,144.850
2015-12-01,143.955
2016-01-01,144.638
2016-02-01,143.979
2016-03-01,143.659
2016-04-01,145.475
2016-05-01,146.416
2016-06-01,144.887
2016-07-01,143.270
2016-08-01,142.803
2016-09-01,144.851
2016-10-01,142.217
2016-11-01,139.975
2016-12-01,139.457
2017-01-01,138.761
2017-02-01,138.713
2017-03-01,139.232
2017-04-01,138.596
2017-05-01,138.601
2017-06-01,137.691
2017-07-01,136.872
2017-08-01,136.875
2017-09-01,135.033
2017-10-01,137.803
2017-11-01,138.261
2017-12-01,138.123
2018-01-01,138.416
2018-02-01,137.953
2018-03-01,137.431
2018-04-01,137.273
2018-05-01,137.842
2018-06-01,137.618
2018-07-01,138.331
2018-08-01,139.086
2018-09-01,137.544
2018-10-01,138.797
2018-11-01,140.295
2018-12-01,140.068
2019-01-01,140.706
2019-02-01,139.499
2019-03-01,138.051
2019-04-01,138.355
2019-05-01,138.227
2019-06-01,139.334
2019-07-01,140.365
2019-08-01,141.969
2019-09-01,141.120
2019-10-01,140.779
2019-11-01,139.674
2019-12-01,139.097
2020-01-01,137.922
2020-02-01,137.758
2020-03-01,138.206
2020-04-01,137.273
2020-05-01,137.773
2020-06-01,135.521
2020-07-01,139.088
2020-08-01,147.599
2020-09-01,155.629
2020-10-01,156.986
2020-11-01,154.739
2020-12-01,153.041
2021-01-01,151.708
2021-02-01,150.649
2021-03-01,151.174
2021-04-01,166.035
2021-05-01,178.796
2021-06-01,196.878
2021-07-01,196.969
2021-08-01,194.645
2021-09-01,193.626
2021-10-01,198.479
2021-11-01,203.322
2021-12-01,210.090
2022-01-01,213.173
2022-02-01,212.644
2022-03-01,204.562
2022-04-01,203.776
2022-05-01,207.518
2022-06-01,210.863
2022-07-01,209.998
2022-08-01,209.782
2022-09-01,207.532
